Original Phrase,Replacement Phrase
Goenka,गोयन्का
गोयनका,गोयन्का
गोएंका,गोयन्का
गोएन्का,गोयन्का
गोयन्का,गोयन्का
पैगोडा,पगोडा
सयाग्यी,सयाजी
विपास्यना,विपश्यना
विपशना,विपश्यना
विपस्सना,विपश्यना
विपासना,विपश्यना
विपास्यना,विपश्यना
उसके,उनके
उसकी,उनकी
उसका,उनका
उसे,उन्हें
उन्हे,उन्हें
ननों,भिक्षुणियों
ध्यानियों,साधको
ध्यानि,साधक
यू,यु
पाडी,पाली
अनिक्का,अनिच्चा
पल्स,नब्ज़
जिसने,जिन्होने
दर्दनाक,दुखद
सील,शील
निब्बाना,मोक्ष
निब्बाण,मोक्ष
पन्थ,पंथ
ग्रेहम,ग्राहम
धम्मा,धम्म
ग्रहम,ग्राहम
शिक्षक,आचार्य
अनीसा,अनीच्चा
छात्रा,साधिका
छात्रा,साधक
छात्रों,साधकों
अनापान,आनापान
अनापना,आनापान
सतीपत्तन,सतिपट्ठान
पैरामिस,पारमी
अध्यापक,आचार्य
सतीपठन,सतिपट्ठान
वृद्ध साधको,पुराने साधको
वृद्ध साधक,पुराना साधक
सतीपशन,सतिपट्ठान
परियात्ती,परियत्ति
